aID,aName
65731,Sam Worthington
8691,Zoe Saldana
10205,Sigourney Weaver
32747,Stephen Lang
17647,Michelle Rodriguez
1771,Giovanni Ribisi
59231,Joel David Moore
30485,CCH Pounder
15853,Wes Studi
10964,Laz Alonso
98215,Matt Gerald
42317,Scott Lawrence
68278,Peter Mensah
236696,Terry Notary
42286,Julene Renee
85,Johnny Depp
114,Orlando Bloom
116,Keira Knightley
1640,Stellan Skarsg?rd
1619,Chow Yun-fat
2440,Bill Nighy
118,Geoffrey Rush
1709,Jack Davenport
2449,Kevin McNally
2441,Tom Hollander
2038,Naomie Harris
378,Jonathan Pryce
1711,Mackenzie Crook
4031,Greg Ellis
1715,David Bailie
4030,Martin Klebba
939,David Schofield
2452,Vanessa Branch
1714,Angus Barnett
22075,Reggie Lee
33500,Takayo Fischer
1123,Andy Beckwith
1056117,Peter Donald Badalamenti II
8784,Daniel Craig
27319,Christoph Waltz
121529,L?a Seydoux
5469,Ralph Fiennes
28782,Monica Bellucci
17064,Ben Whishaw
543530,Dave Bautista
139549,Rory Kinnear
2244,Jesper Christensen
5309,Judi Dench
3894,Christian Bale
3895,Michael Caine
64,Gary Oldman
1813,Anne Hathaway
2524,Tom Hardy
8293,Marion Cotillard
24045,Joseph Gordon-Levitt
192,Morgan Freeman
2037,Cillian Murphy
36594,Juno Temple
3896,Liam Neeson
8654,Matthew Modine
77335,Ben Mendelsohn
928532,Josh Pence
125025,Joey King
39659,Burn Gorman
16841,Brett Cullen
8191,Chris Ellis
539,Thomas Lennon
10689,Rob Brown
83271,Glen Powell
535,Russ Fega
15011,Brent Briscoe
21505,Robert Wisdom
53252,Noel Gugliemi
40039,Josh Stewart
21416,William Devane
6365,Desmond Harrington
941,Tomas Arana
20469,Jillian Armenante
1359461,Graham Curry
1098036,John W. Iwanonkiw
1480130,Tiffany Sander McKenzie
20582,Michael Papajohn
1205623,Barbara Vincent
1574936,Mark Falvo
1580574,Gary Sievers
60900,Taylor Kitsch
21044,Lynn Collins
2206,Samantha Morton
5293,Willem Dafoe
19159,Thomas Haden Church
2983,Mark Strong
8785,Ciar?n Hinds
17287,Dominic West
17648,James Purefoy
17419,Bryan Cranston
57675,Daryl Sabara
118617,Nicholas Woodeson
2219,Tobey Maguire
205,Kirsten Dunst
17051,James Franco
17052,Topher Grace
18997,Bryce Dallas Howard
18998,Rosemary Harris
2505,James Cromwell
18999,J.K. Simmons
19152,Dylan Baker
5502,Bill Nunn
9281,Elizabeth Banks
11769,Ted Raimi
6585,Perla Haney-Jardine
19153,Cliff Robertson
2368,Elya Baskin
20580,Joe Manganiello
7624,Stan Lee
11357,Bruce Campbell
552526,Andre B. Blake
11766,Timothy Patrick Quill
233298,Robert Curtis Brown
53257,Emilio Rivera
193946,Mark Kubr
1246221,Bernadette Lords
16855,Mandy Moore
2517,Donna Murphy
2372,Ron Perlman
22132,M.C. Gainey
4175,Jeffrey Tambor
18,Brad Garrett
1219029,Paul F. Tompkins
10460,Richard Kiel
3223,Robert Downey Jr.
74568,Chris Hemsworth
103,Mark Ruffalo
16828,Chris Evans
1245,Scarlett Johansson
17604,Jeremy Renner
13548,James Spader
2231,Samuel L. Jackson
1896,Don Cheadle
27428,Aaron Taylor-Johnson
550843,Elizabeth Olsen
6162,Paul Bettany
71189,Cobie Smulders
53650,Anthony Mackie
39459,Hayley Atwell
17605,Idris Elba
1817,Linda Cardellini
3491,Thomas Kretschmann
1333,Andy Serkis
1146,Julie Delpy
7030,Henry Goodman
43373,Aaron Himelstein
62105,Kerry Condon
16851,Josh Brolin
1429470,Nick W. Nicholson
1371439,Daniel Westwood
10980,Daniel Radcliffe
10989,Rupert Grint
10990,Emma Watson
10993,Tom Felton
5658,Michael Gambon
388,Jim Broadbent
1283,Helena Bonham Carter
1923,Robbie Coltrane
10978,Maggie Smith
4566,Alan Rickman
9191,Timothy Spall
11207,David Thewlis
477,Julie Walters
96841,Matthew Lewis
10991,Bonnie Wright
140368,Oliver Phelps
96851,James Phelps
20999,Mark Williams
11184,Warwick Davis
3300,Natalia Tena
60348,Dave Legeno
10988,Geraldine Somerville
15737,Helen McCrory
11180,David Bradley
9138,Gemma Jones
234922,Devon Murray
11212,Josh Herdman
956224,Jamie Waylett
234923,Alfie Enoch
202032,Ralph Ineson
880,Ben Affleck
73968,Henry Cavill
90633,Gal Gadot
9273,Amy Adams
44735,Jesse Eisenberg
2882,Diane Lane
16940,Jeremy Irons
2975,Laurence Fishburne
18686,Holly Hunter
59233,Scoot McNairy
208296,Callan Mulvey
20089,Jena Malone
9464,Harry Lennix
1269,Kevin Costner
132157,Ezra Miller
17178,Patrick Wilson
335,Michael Shannon
12219,Jon Stewart
17832,Carla Gugino
3977,Joe Morton
47296,Jeffrey Dean Morgan
19300,Sammi Rotibi
79086,Kent Shocknek
1077782,Gary A. Hecker
130081,Robin Atkin Downes
1979,Kevin Spacey
7517,Kate Bosworth
11006,James Marsden
7489,Parker Posey
8924,Frank Langella
53492,Sam Huntington
2639,Eva Marie Saint
3084,Marlon Brando
53493,Kal Penn
18182,Olga Kurylenko
8789,Mathieu Amalric
59620,Gemma Arterton
2954,Jeffrey Wright
35029,David Harbour
62892,Anatole Taubman
11276,Tim Pigott-Smith
76857,Joaqu?n Cosio
64102,Christopher Adamson
10960,Max Baker
25441,Steve Speirs
53807,Armie Hammer
886,William Fichtner
18473,James Badge Dale
207,Tom Wilkinson
12834,Barry Pepper
22063,James Frain
71467,Matt O'Leary
15374,Leon Rippy
6951,W. Earl Brown
84225,Gil Birmingham
1094319,Matthew Page
1240490,Kevin Wiggins
208061,Chad Brummett
21723,Robert Baker
37027,Lew Temple
17401,Stephen Root
102567,Randy Oglesby
56267,Brad Greenquist
