mID,aID
19995,65731
19995,8691
19995,10205
19995,32747
19995,17647
19995,1771
19995,59231
19995,30485
19995,15853
19995,10964
19995,98215
19995,42317
19995,68278
19995,236696
19995,42286
285,85
285,114
285,116
285,1640
285,1619
285,2440
285,118
285,1709
285,2449
285,2441
285,2038
285,378
285,1711
285,4031
285,1715
285,4030
285,939
285,2452
285,1714
285,22075
285,33500
285,1123
285,1056117
206647,8784
206647,27319
206647,121529
206647,5469
206647,28782
206647,17064
206647,2038
206647,543530
206647,139549
206647,2244
206647,5309
49026,3894
49026,3895
49026,64
49026,1813
49026,2524
49026,8293
49026,24045
49026,192
49026,2037
49026,36594
49026,3896
49026,8654
49026,77335
49026,928532
49026,125025
49026,39659
49026,16841
49026,22075
49026,8191
49026,539
49026,10689
49026,83271
49026,535
49026,15011
49026,21505
49026,53252
49026,40039
49026,21416
49026,6365
49026,941
49026,20469
49026,1359461
49026,1098036
49026,1480130
49026,20582
49026,1205623
49026,1574936
49026,1580574
49529,60900
49529,21044
49529,2206
49529,5293
49529,19159
49529,2983
49529,8785
49529,17287
49529,17648
49529,17419
49529,57675
49529,118617
559,2219
559,205
559,17051
559,19159
559,17052
559,18997
559,18998
559,2505
559,18999
559,19152
559,5502
559,9281
559,11769
559,6585
559,5293
559,19153
559,2368
559,20582
559,20580
559,7624
559,11357
559,552526
559,11766
559,233298
559,53257
559,193946
559,1246221
38757,16855
38757,2517
38757,2372
38757,22132
38757,4175
38757,18
38757,1219029
38757,10460
99861,3223
99861,74568
99861,103
99861,16828
99861,1245
99861,17604
99861,13548
99861,2231
99861,1896
99861,27428
99861,550843
99861,6162
99861,71189
99861,53650
99861,39459
99861,17605
99861,1817
99861,1640
99861,3491
99861,1333
99861,1146
99861,7624
99861,7030
99861,43373
99861,62105
99861,16851
99861,1429470
99861,1371439
767,10980
767,10989
767,10990
767,10993
767,5658
767,388
767,1283
767,1923
767,10978
767,4566
767,9191
767,11207
767,477
767,96841
767,10991
767,140368
767,96851
767,20999
767,11184
767,3300
767,60348
767,10988
767,15737
767,11180
767,9138
767,234922
767,11212
767,956224
767,234923
767,202032
209112,880
209112,73968
209112,90633
209112,9273
209112,44735
209112,2882
209112,16940
209112,2975
209112,18686
209112,59233
209112,208296
209112,20089
209112,9464
209112,1269
209112,132157
209112,17178
209112,335
209112,12219
209112,17832
209112,3977
209112,47296
209112,19300
209112,79086
209112,1077782
209112,130081
1452,1979
1452,7517
1452,11006
1452,7489
1452,8924
1452,53492
1452,2639
1452,3084
1452,53493
10764,8784
10764,18182
10764,8789
10764,5309
10764,59620
10764,2954
10764,35029
10764,2244
10764,62892
10764,139549
10764,11276
10764,76857
58,85
58,114
58,116
58,1640
58,2440
58,1709
58,2449
58,378
58,1711
58,2441
58,2038
58,1715
58,4030
58,939
58,118
58,1123
58,22075
58,64102
58,10960
58,25441
58,2452
58,1056117
57201,85
57201,53807
57201,886
57201,1283
57201,18473
57201,207
57201,12834
57201,22063
57201,71467
57201,15374
57201,6951
57201,84225
57201,1094319
57201,1429470
57201,76857
57201,1240490
57201,208061
57201,21723
57201,37027
57201,17401
57201,102567
57201,56267
57201,22250
57201,59847
49521,73968
49521,9273
49521,335
49521,1269
49521,2882
49521,934
49521,2975
49521,43202
49521,22227
49521,8786
49521,31028
49521,50217
49521,17832
49521,12371
49521,37698
49521,2320
49521,11831
49521,4095
49521,9464
2454,25130
2454,5529
2454,22970
2454,11184
2454,17839
2454,3896
2454,25136
2454,3063
2454,1926
24428,3223
24428,16828
24428,103
24428,74568
24428,1245
24428,17604
24428,91606
24428,9048
24428,71189
24428,1640
24428,2231
24428,12052
24428,6162
24428,14464
24428,6280
24428,7624
24428,34486
24428,5048
24428,79079
24428,51303
24428,1018947
24428,150194
24428,66525
24428,2256
24428,1480047
24428,1480130
1865,85
1865,955
1865,6972
1865,2449
1865,118
1865,237455
1865,1115
1865,4031
1865,59129
1865,10983
1865,5309
1865,8399
1865,75076
1865,51300
1865,58758
1865,11279
41154,2888
41154,2176
41154,16851
41154,72873
41154,7056
41154,55936
41154,59860
41154,19278
41154,87070
41154,33533
41154,21200
41154,1152008
122917,7060
122917,1327
122917,30315
122917,25136
122917,95047
122917,34715
122917,207558
122917,173451
122917,114
122917,19034
122917,72095
122917,112
122917,1331
122917,113
122917,65
122917,114019
122917,11275
122917,126667
122917,41782
122917,9188
122917,71580
1930,37625
1930,54693
1930,7026
1930,5724
1930,55152
1930,76793
1930,8349
1930,35
1930,558928
1930,6368
1930,2878
1930,7624
1930,9289
1930,20582
1930,61263
1930,15318
1930,58510
1930,1983
1930,68430
20662,934
20662,112
20662,2201
20662,227
20662,2983
20662,25072
20662,6413
20662,20300
20662,13633
20662,15576
20662,79072
20662,121529
20662,43131
20662,34515
20662,16358
20662,75076
20662,114019
20662,58787
20662,202032
20662,3551
57158,7060
57158,1327
57158,30315
57158,25136
57158,95047
57158,34715
57158,207558
57158,71580
57158,72095
57158,114019
57158,19034
57158,114
57158,41782
57158,11275
57158,126667
57158,236696
57158,112
57158,58769
57158,173451
2268,2227
2268,8784
2268,16431
2268,10912
2268,1281
2268,1327
2268,6972
2268,5470
2268,8534
2268,20070
2268,14011
2268,113
2268,16358
2268,45586
2268,937
2268,142389
2268,63608
254,3489
254,70851
254,3490
254,3491
254,3492
254,1333
254,478
254,3497
254,173451
597,204
597,6193
597,3713
597,1954
597,8534
597,2053
597,1369
597,2076
597,8536
597,8540
597,65524
597,1080265
597,26863
597,3981
597,4031
597,29214
597,42286
271110,16828
271110,3223
271110,1245
271110,60898
271110,53650
271110,1896
271110,17604
271110,172069
271110,6162
271110,550843
271110,22226
271110,81685
271110,227
271110,3872
271110,21134
271110,62105
271110,7060
271110,3141
271110,15250
271110,1981
271110,161932
