mID,kID
19995,1463
19995,2964
19995,3388
19995,3679
19995,3801
19995,9685
19995,9840
19995,9882
19995,9951
19995,10158
19995,10987
19995,13065
19995,14643
19995,206690
19995,209714
285,270
285,726
285,911
285,2038
285,2052
285,2580
285,2660
285,3799
285,6155
285,6211
285,12988
285,157186
285,179430
206647,470
206647,818
206647,4289
206647,9663
206647,156095
49026,849
49026,853
49026,949
49026,1308
49026,1437
49026,3051
49026,6969
49026,7002
49026,9665
49026,9715
49026,10044
49026,13015
49026,14796
49026,156395
49529,818
49529,839
49529,1456
49529,3801
49529,7376
49529,9951
49529,10028
49529,10685
49529,179102
49529,207928
49529,209714
559,851
559,1453
559,1965
559,2038
559,3446
559,3986
559,4391
559,4959
559,6062
559,8828
559,9663
559,9715
559,9748
38757,1562
38757,2343
38757,2673
38757,3205
38757,4344
38757,7376
38757,10336
38757,179431
99861,8828
99861,9663
99861,9715
99861,9717
99861,10629
99861,155030
99861,179431
99861,180547
99861,209714
767,616
767,2343
767,3872
767,3884
767,6333
767,10791
767,12564
209112,849
209112,7002
209112,9715
209112,9717
209112,9748
209112,163455
1452,83
1452,849
1452,9663
1452,9715
1452,9717
1452,163455
1452,179102
10764,627
10764,1568
10764,4289
10764,156095
58,616
58,663
58,911
58,1299
58,1316
58,3799
58,5600
58,12988
58,157186
58,179430
57201,1556
57201,2673
57201,5385
57201,9104
57201,9503
57201,10685
57201,10909
57201,13008
49521,83
49521,849
49521,9715
49521,9717
49521,10761
49521,14909
49521,161184
49521,163455
2454,818
2454,855
2454,1155
2454,2043
2454,3714
2454,4391
2454,5144
2454,6150
2454,6464
2454,170362
24428,242
24428,5539
24428,8828
24428,9715
24428,9717
24428,14909
24428,155030
24428,179430
24428,179431
24428,180547
1865,658
1865,1316
1865,1860
1865,1938
1865,2569
1865,3180
1865,3799
1865,4235
1865,5938
1865,12988
1865,13065
1865,14643
1865,157186
1865,179430
1865,209714
41154,4379
41154,5455
41154,9951
122917,417
122917,603
122917,604
122917,606
122917,609
122917,611
122917,12554
122917,14643
122917,167982
122917,234213
1930,1872
1930,7002
1930,8828
1930,161184
1930,163455
1930,163561
1930,171556
1930,179431
20662,10466
20662,41406
57158,603
57158,604
57158,606
57158,611
57158,12554
57158,177912
57158,234213
2268,392
2268,1706
2268,6464
2268,13014
2268,18165
2268,223438
254,837
254,886
254,887
254,911
254,1299
254,3799
254,12616
597,2580
597,3799
597,4210
597,6917
597,9673
597,10617
597,14514
597,156395
597,165086
597,209714
271110,393
271110,6091
271110,8828
271110,9663
271110,9715
271110,9717
271110,156395
271110,179430
271110,179431
271110,180547
271110,209714
44833,1721
44833,4410
44833,12354
44833,13042
44833,14760
44833,179430
135397,1299
135397,1718
135397,1720
135397,2041
135397,9663
135397,9937
135397,10617
135397,10685
135397,12616
135397,155582
135397,158130
135397,209714
135397,223059
37724,470
37724,4289
37724,9740
37724,15127
37724,15478
37724,156095
37724,156395
558,851
558,2038
558,8828
558,9663
558,9715
558,13005
558,14760
558,34079
558,163074
68721,949
68721,5597
68721,8828
68721,9715
68721,9717
68721,179430
68721,180547
68721,209714
12155,818
12155,855
12155,2011
12155,2486
12155,170362
12155,209714
36668,1852
36668,8828
36668,9717
36668,10761
36668,179430
62211,1299
62211,6186
62211,10336
62211,12392
62211,13160
62211,179430
8373,1160
8373,1670
8373,4630
8373,11117
8373,14544
8373,156395
8373,179431
91314,9663
91314,9951
91314,10891
91314,14544
91314,156395
68728,291
68728,616
68728,2343
68728,3929
68728,44451
68728,177912
68728,209714
102382,1523
102382,8828
102382,9663
102382,9717
102382,163455
20526,310
20526,1308
20526,4565
20526,6104
20526,9758
20526,12965
20526,14735
49013,830
49013,9663
49013,10267
49013,11500
49013,12392
49013,179431
44912,849
44912,4375
44912,9715
44912,9951
44912,15252
44912,163455
44912,209714
10193,1562
10193,3616
10193,4290
10193,10336
10193,10685
10193,179431
10193,187065
534,83
534,310
534,530
534,582
534,679
534,1373
534,1420
534,4458
534,4565
534,6092
534,6112
534,12670
168259,830
168259,9748
168259,9937
168259,33885
72190,4565
72190,12332
72190,12377
72190,186565
127585,1228
127585,1852
127585,4379
127585,8828
127585,9717
127585,10761
127585,14527
127585,179430
54138,1612
54138,6054
54138,9663
54138,9685
54138,9882
54138,9951
54138,156395
54138,161176
54138,209714
81005,189099
64682,818
64682,1326
64682,1523
64682,3929
64682,209714
9543,1965
9543,41645
68726,4565
68726,10891
68726,11100
68726,12332
68726,156395
68726,179431
68726,209714
38356,305
38356,1612
38356,2052
38356,3088
38356,10158
38356,10891
38356,15246
38356,15248
38356,179431
217,83
217,483
217,1454
217,4276
217,5566
217,6956
217,41586
217,184134
105864,1720
105864,9713
105864,12026
105864,12616
105864,13073
105864,14527
105864,18330
105864,189092
62177,388
62177,526
62177,3930
62177,4152
62177,4896
62177,10468
62177,179430
62177,187056
62177,189098
62177,209714
188927,9663
188927,9743
188927,161176
10681,9799
5174,1704
14161,5096
14161,10150
14161,10617
14161,12332
14161,14796
17979,65
17979,818
17979,8250
17979,10594
17979,33965
17979,162846
17979,207317
76757,9882
76757,187056
76757,209714
76757,212760
258489,409
258489,5650
258489,10787
258489,158130
411,83
411,616
411,818
411,1155
411,1430
411,1442
411,2043
411,6187
411,14643
411,170362
411,179431
246655,1852
246655,4769
246655,8828
246655,9715
246655,9717
246655,10761
246655,12332
246655,155030
246655,179430
246655,208289
155,849
155,853
155,1308
155,4426
155,4630
155,6969
155,7002
155,9715
155,9717
155,10044
155,10291
155,156395
155,163074
155,163455
14160,965
14160,9903
14160,10336
14160,179431
15512,9951
15512,10891
15512,179431
1726,539
1726,6163
1726,8828
1726,9715
1726,9717
1726,179430
1726,180547
44826,2793
44826,2849
44826,4290
44826,5202
44826,9673
44826,13014
44826,14544
44826,209714
8487,10028
8487,10988
297761,849
297761,2095
297761,3269
297761,3289
297761,9715
2698,494
2698,2587
2698,5905
2698,6038
2698,6150
2698,10084
2698,18165
2698,18330
2698,179431
137113,563
137113,4565
137113,6091
137113,9951
137113,13065
137113,14909
9804,270
9804,331
9804,1852
9804,4237
9804,4565
9804,34161
14869,949
14869,1328
14869,1562
14869,1576
14869,6086
14869,8570
14869,9748
14869,9826
14869,10563
14869,14601
14869,14760
14869,156075
150540,1566
150540,7942
150540,10336
150540,18035
150540,161155
150540,179431
150540,209714
278927,818
278927,1585
278927,1994
278927,4809
278927,5650
278927,9714
278927,10468
278927,10787
278927,11477
278927,13014
278927,18165
10138,8828
10138,9715
10138,9717
10138,9748
10138,179430
10138,180547
58595,2011
58595,2343
58595,3205
58595,4978
58595,5774
58595,9758
58595,15184
58595,169341
102651,3205
102651,3289
102651,177895
102651,209714
119450,3077
119450,4090
119450,4458
119450,4565
119450,5774
119450,9663
119450,9720
119450,14759
119450,14760
119450,15149
119450,158130
119450,188959
119450,209714
64686,233
64686,236
64686,9672
64686,209714
100402,521
100402,2964
100402,5539
100402,8828
100402,9715
100402,9717
100402,179430
100402,179431
100402,180547
100402,209714
10192,209714
158852,1436
158852,12332
158852,40850
158852,156395
177572,380
177572,1701
177572,2276
177572,9748
177572,12392
177572,14544
177572,179430
177572,209714
82690,6733
82690,179430
82690,179431
5255,1991
5255,5801
5255,6150
5255,207317
47933,12026
47933,14909
10191,334
10191,1395
10191,2041
10191,3799
10191,4613
10191,5331
10191,5774
10191,5895
10191,6054
10191,8044
10191,12554
10191,14643
10191,18543
10191,192913
296,83
296,310
296,312
296,679
296,1373
296,1381
296,2733
296,4565
296,15106
118340,8828
118340,9831
118340,9882
118340,12405
118340,13014
118340,179430
118340,179431
118340,180547
157336,83
157336,310
157336,494
157336,641
157336,1432
157336,1963
157336,3801
157336,4380
157336,4565
157336,4776
157336,9831
157336,9882
157336,10084
157336,10235
157336,14544
157336,14626
157336,14760
157336,15300
157336,33479
157336,154846
157336,156039
157336,156395
157336,189098
27205,1014
27205,1566
27205,1930
27205,10051
27205,11436
315011,1299
315011,11100
315011,14796
49051,483
49051,603
49051,604
49051,606
49051,609
49051,611
49051,1262
49051,177912
49051,189092
49051,189093
49051,189098
49051,189099
49051,189102
9799,542
9799,830
9799,1568
9799,12670
9799,33885
9799,159953
9799,179430
9799,179431
4922,2913
4922,3588
4922,3739
4922,9935
4922,11612
49538,591
49538,1852
49538,8828
49538,9715
49538,9717
49538,10761
49538,208992
131634,2020
131634,2660
131634,4565
131634,209714
131634,223438
27022,616
27022,657
27022,1994
27022,2343
27022,3096
27022,3098
27022,4237
27022,4488
27022,4613
27022,9673
27022,10364
27022,12554
27022,179430
503,613
503,657
503,793
503,843
503,1872
503,2283
503,2580
503,3799
503,5600
503,9457
503,10685
241259,818
241259,2011
241259,9663
241259,177895
241259,209714
810,502
810,1647
810,2019
810,2041
810,2052
810,2580
810,3071
810,3799
810,4152
810,4326
810,4375
810,5515
810,6093
810,6271
810,6285
810,10508
810,12392
810,12554
810,13001
810,13149
810,179431
68735,282
68735,603
68735,606
68735,2343
68735,3713
68735,9717
68735,41645
68735,177912
68735,234213
87101,83
87101,310
87101,679
87101,1373
87101,2964
87101,4379
87101,4565
87101,9663
87101,179431
87101,209714
10140,818
10140,2343
10140,10842
10140,13084
10140,170362
676,428
676,1627
676,1668
676,1956
676,3203
676,3800
676,6091
676,6092
676,9673
1858,2535
1858,4375
1858,9951
1858,14544
1858,179431
1858,188178
1966,1160
1966,1200
1966,10180
1966,10198
1966,14704
675,530
675,616
675,1014
675,2343
675,2630
675,3650
675,3737
675,3872
675,3873
675,3884
675,4252
675,4959
675,5147
674,2343
674,3737
674,3872
674,3873
674,3884
674,4238
674,4252
674,6271
674,10629
674,12380
674,13130
674,177912
674,188178
674,223438
8960,334
8960,567
8960,2038
8960,3691
8960,4663
8960,5608
8960,7464
8960,9715
8960,179431
6479,83
6479,4458
6479,4565
6479,5144
6479,188957
118,212
118,494
118,818
118,970
118,1158
118,10508
2062,90
2062,380
2062,996
2062,1261
2062,1650
2062,2161
2062,2246
2062,3640
2062,3914
2062,6148
2062,18035
2062,18293
272,486
272,779
272,849
272,853
