kID,kName
1463,culture clash
2964,future
3388,space colony
3679,society
3801,space travel
9685,futuristic
9840,romance
9882,space
9951,alien
10158,alien planet
10987,cgi
13065,soldier
14643,battle
206690,mind and soul
209714,3d
270,ocean
726,drug abuse
911,exotic island
2038,love of one's life
2052,traitor
2580,shipwreck
2660,strong woman
3799,ship
6155,afterlife
6211,fighter
12988,pirate
157186,swashbuckler
179430,aftercreditsstinger
470,spy
818,based on novel
4289,secret agent
9663,sequel
156095,british secret service
849,dc comics
853,crime fighter
949,terrorist
1308,secret identity
1437,burglar
3051,hostage drama
6969,gotham city
7002,vigilante
9665,cover-up
9715,superhero
10044,tragic hero
13015,terrorism
14796,destruction
156395,imax
839,mars
1456,medallion
7376,princess
10028,steampunk
10685,escape
179102,superhuman strength
207928,19th century
851,dual identity
1453,amnesia
1965,sandstorm
3446,forgiveness
3986,spider
4391,wretch
4959,death of a friend
6062,hostility
8828,marvel comic
9748,revenge
1562,hostage
2343,magic
2673,horse
3205,fairy tale
4344,musical
10336,animation
179431,duringcreditsstinger
9717,based on comic book
10629,vision
155030,superhero team
180547,marvel cinematic universe
616,witch
3872,broom
3884,school of witchcraft
6333,wizardry
10791,teenage crush
12564,werewolf
163455,super powers
83,saving the world
627,killing
1568,undercover
663,fortune teller
1299,monster
1316,captain
5600,daughter
1556,texas
5385,survivor
9104,partner
9503,outlaw
10909,lawyer
13008,train
10761,superhuman
14909,alien invasion
161184,reboot
855,fictional place
1155,brother sister relationship
2043,lion
3714,human being
5144,matter of life and death
6150,faith
6464,uncle
170362,fantasy world
242,new york
5539,shield
658,sea
1860,mutiny
1938,sword
2569,prime minister
3180,sailing
4235,duke
5938,mermaid
4379,time travel
5455,time machine
417,corruption
603,elves
604,dwarves
606,orcs
609,middle-earth (tolkien)
611,hobbit
12554,dragon
167982,unlikely friendship
234213,sword and sorcery
1872,loss of father
163561,genetic engineering
171556,social outcast
10466,knight
41406,middle ages
177912,wizard
392,england
1706,experiment
13014,orphan
18165,animal
223438,based on young adult novel
837,show business
886,film making
887,film producer
12616,dinosaur
4210,panic
6917,epic
9673,love
10617,disaster
14514,class differences
165086,star crossed lovers
393,civil war
6091,war
1721,fight
4410,u.s. navy
12354,hong kong
13042,soccer
14760,scientist
1718,dna
1720,tyrannosaurus rex
2041,island
9937,suspense
155582,amusement park
158130,animal attack
223059,animal horror
9740,sociopath
15127,killer
15478,art gallery
13005,doctor
34079,death
163074,super villain
5597,war on terror
2011,queen
2486,fantasy
1852,mutant
6186,games
12392,best friend
13160,university
1160,egypt
1670,sun
4630,chaos
11117,tank
14544,robot
10891,giant robot
291,circus
3929,hope
44451,lost
1523,obsession
310,artificial intelligence
4565,dystopia
6104,computer
9758,deception
12965,duel
14735,motorcycle
830,car race
10267,comedy
11500,anthropomorphism
4375,transformation
15252,magical object
3616,college
4290,toy
187065,toy comes to life
530,prophecy
582,san francisco
679,cyborg
1373,killer robot
1420,gas station
4458,post-apocalyptic
6092,army
6112,firearm
12670,los angeles
33885,car
12332,apocalypse
12377,zombie
186565,zombie apocalypse
1228,1970s
14527,storm
1612,spacecraft
6054,friendship
161176,space opera
189099,giant
1326,infidelity
41645,based on video game
11100,giant monster
305,moon
3088,bodyguard
15246,sabotage
15248,commando
483,riddle
1454,treasure
4276,machinegun
5566,maya civilization
6956,treasure hunt
41586,archaeologist
184134,archeology?
9713,friends
12026,alternate history
13073,fear
18330,nature
189092,journey
388,scotland
526,rebel
3930,bravery
4152,kingdom
4896,wish
10468,bear
187056,woman director
189098,courage
9743,stranded
9799,romantic comedy
1704,ambassador
5096,natural disaster
10150,end of the world
65,holiday
8250,victorian england
10594,money
33965,christmas eve
162846,ghost
207317,christmas
212760,interspecies romance
409,africa
5650,feral child
10787,jungle
1430,self sacrifice
1442,winter
6187,fairy-tale figure
4769,supernatural powers
208289,1980s
4426,sadism
10291,organized crime
965,age difference
9903,balloon
539,middle east
6163,arms dealer
2793,film director
2849,key
5202,boy
10988,based on tv series
2095,anti hero
3269,secret mission
3289,villain
494,father son relationship
2587,married couple
5905,father
6038,marriage
10084,rescue
563,deja vu
331,tattoo
4237,water
34161,doomsday
1328,secret
1576,technology
6086,government
8570,president
9826,murder
10563,attack
14601,explosion
156075,evil
1566,dream
7942,imaginary friend
18035,family
161155,kids
1585,snake
1994,wolf
4809,tiger
9714,remake
11477,talking animal
4978,immortality
5774,forest
15184,woman
169341,snow white
177895,dark fantasy
3077,leader
4090,colony
9720,woods
14759,ape
15149,monkey
188959,plague
233,japan
236,suicide
9672,based on true story
521,washington d.c.
1436,inventor
40850,destiny
380,brother brother relationship
1701,hero
2276,talent
6733,bullying
1991,santa claus
5801,nerd
334,flying
1395,arena
4613,training
5331,village
5895,viking
8044,flight
18543,combat
192913,warrior
312,man vs machine
1381,sun glasses
2733,firemen
15106,psychiatrist
9831,spaceship
12405,outer space
641,single parent
1432,nasa
1963,expedition
4380,black hole
4776,race against time
10235,family relationships
14626,astronaut
15300,father daughter relationship
33479,single father
154846,farmer
156039,space station
1014,loss of lover
1930,kidnapping
10051,heist
11436,redemption
1262,mountains
189093,ring
189102,tunnel
542,street gang
159953,automobile racing
2913,diary
3588,navy
3739,funeral
9935,travel
11612,hospital
591,cia
208992,1960s
2020,revolution
657,fire
3096,book
3098,castle
4488,apprentice
10364,mission
613,new year's eve
793,drowning
843,cataclysm
2283,ball
9457,single
502,ambush
1647,sadness
2019,liberation of prisoners
3071,prince
4326,theatre play
5515,heir to the throne
6093,assault
6271,boarding school
6285,coup d'etat
10508,teacher
13001,cowardliness
13149,pregnancy
282,video game
3713,chase
10842,good vs evil
13084,king
428,nurse
1627,patriotism
1668,hawaii
1956,world war ii
3203,pilot
3800,airplane
2535,destroy
188178,teenage hero
1200,greece
10180,homosexuality
10198,gay relationship
14704,ancient world
2630,cutting the cord
3650,child hero
3737,dying and death
3873,sorcerer's apprentice
4252,black magic
5147,sorcery
4238,chosen one
12380,tournament
13130,teenager
567,alcohol
3691,forbidden love
4663,lovers
5608,affection
7464,alcoholism
188957,virus
212,london england
970,parents kids relationship
1158,grandfather grandson relationship
90,paris
996,expensive restaurant
1261,river
1650,cook
2161,mouse
2246,confidence
3640,work
3914,kitchen
6148,court
18293,chef
486,himalaya
779,martial arts
9823,rivalry
10278,ninja
14536,crime
187710,escapade
931,jealousy
1691,dance
2172,zoo
2552,chimp
3028,penguin
3347,volcano
15097,shark
2598,museum
2792,boxer
490,philosophy
780,kung fu
1552,subway
2725,sunlight
2812,computer virus
3222,super computer
4563,virtual reality
6256,truth
12190,cyberpunk
10085,betrayal
10541,curse
10794,snow
11173,troll
5657,australia
10349,survival
10562,on the run
588,rome
716,vatican
5950,christian
9675,prequel
10410,conspiracy
161207,catholicism
1508,new mexico
9963,kids and family
1449,underworld
2035,mythology
162861,ancient greece
3133,vampire
11860,fish out of water
41410,madness
160279,18th century
1201,austria
11004,rural setting
2382,flower
2778,florist
1445,ice
2770,war ship
5638,arrest
13153,spirit
220,berlin
833,white house
1653,explosive
1880,mobile phone
1969,map
2546,mask
2676,honeymoon
3344,letter
4277,to shoot dead
4697,video
18118,disguise
33648,celebration
46958,good and bad
840,usa president
41249,secret service
15101,based on children's book
4456,frog
5490,girlfriend
2051,intelligence
2393,adoption
5561,child prodigy
9825,growing up
10103,children
15162,dog
157303,first love
596,adultery
3258,beauty
4373,fraud
9725,sword fight
10141,battlefield
5248,female friendship
1423,asteroid
1826,space marine
13027,wedding
199076,disaster movie
2173,illegal immigration
2428,deportation
2547,new identity
3243,flying saucer
3760,light
2251,lie
7412,sin
9920,royalty
161919,adult animation
478,china
3030,nightmare
1333,desperation
3607,hold-up robbery
10532,suburbia
33740,humiliation
156052,unemployment
1327,war crimes
1400,swordplay
1402,general
1543,war veteran
2001,arms deal
2280,emperor
2568,language barrier
2796,self-discovery
3070,mercenary
3074,insurgence
4549,loss of husband
10089,slaughter
33457,alcoholic
33564,u.s. soldier
488,moses
3036,bible
3822,teleportation
4040,space mission
155212,vulcan
156282,alternate reality
4543,thanksgiving
1157,wife husband relationship
157499,mother son relationship
9727,thief
18034,desert
1583,mass murder
4948,retirement
387,california
1419,gun
2766,mutation
2800,psychology
18047,anger
46951,mirror
162365,military
321,terror
782,assassin
2534,missile
18420,surveillance
279,usa
2652,nazis
11064,nazi germany
15060,period drama
41523,brooklyn new york city
6731,british
10590,oil
231407,fang vamp
10718,fugitive
12663,little girl
14895,cannibal
570,rape
2522,grizzly bear
3593,wilderness
10322,native american
14819,violence
185722,based on true events
240,underdog
3720,power
33637,superpower
798,sheriff
2551,pet
14570,las vegas
1295,europe
3246,prosecution
3851,dangerous
3864,false identity
6110,weapon
10950,shootout
11134,espionage
14967,foot chase
187844,flashback
1310,mentor
1946,restaurant
6362,turtle
14955,fighting
271,competition
1382,factory
2136,television
11196,rebellion
11221,blood
11322,female protagonist
15017,danger
447,post traumatic stress  disorder
586,new jersey
416,miami
529,ku klux klan
701,cuba
1666,mexican standoff
1941,ecstasy
12371,gunfight
13142,gangster
15271,interrogation
15483,car chase
18026,drug lord
156117,illegal drugs
167316,buddy cop
219404,action hero
4414,adventure
441,assassination
2106,cold war
2111,soviet union
9649,god
12193,reporter
2752,ranch
4803,comet
10506,prehistoric
178645,prehistoric adventure
183414,prehistoric times
9682,history
248,date
378,prison
1357,fish
1919,mayor
2217,rain
1441,christmas party
3335,halloween
1321,gold
4668,police operation
10327,undead
1459,marriage proposal
3266,jamaica
4062,skeleton
5744,governor
167861,caribbean
836,resistance
18249,game
186,christianity
345,monk
2908,secret society
2646,bird
33928,audition
1161,brazil
1812,fbi
6089,freedom
9777,escape from prison
9844,car crash
11148,police chase
12414,escaped convict
33696,sea monster
769,falsely accused
848,double life
1475,telepathy
3249,hologram
1964,cave
5939,iraq
15219,rooftop
1605,new love
2213,tornado
2227,evacuation
514,spain
720,helicopter
1418,skyscraper
33705,agent
168683,storm at sea
3376,satellite
6506,resurrection
33456,double cross
18068,teenage boy
2870,mephisto
3684,religion and supernatural
642,robbery
803,android
15285,spin off
6149,police
18021,detroit
963,loss of brother
128,love triangle
1480,baseball
10456,athlete
822,airport
2101,garage
797,showdown
160840,dream sequence
1399,senate
5340,investigation
18069,laser gun
6129,company
225061,friend
2504,world war i
4270,galaxy
4428,stone age
159955,cavemen
2070,olympic games
4305,radio transmission
4405,marine corps
4595,u.s. army
4580,van
14512,new york city
6203,loss
1415,small town
2669,motel
3623,cabin
6281,partnership
5086,telekinesis
191564,body horror
41180,security guard
3521,earthquake
3272,secret intelligence service
3586,tv station
531,southern usa
697,loss of son
1465,loss of family
2983,passion
4653,french
10292,gore
258,bomb
2708,hitman
5809,marriage crisis
8438,job
162988,dystopic future
206298,young adult
2336,ladykiller
5565,biography
9094,womanizer
736,journalist
2016,vandalism
2334,nightclub
4728,knife
8508,party
9639,playboy
18712,based on graphic novel
188955,hand to hand combat
190999,minions
4932,farm
5543,cow
6075,sport
1422,boat
33461,diamond
3010,intolerance
10568,science fiction
2157,hacker
3543,transport of prisoners
5572,fistfight
8440,ex-cop
15156,cell phone
33553,walkie talkie
2407,fireworks
396,transporter
977,cat
6669,step father
520,chicago
3703,law
14989,religious
6783,orphanage
3392,voodoo
5091,kiss
1533,isolation
156810,science
402,clone
6017,genetics
11628,cloning
2301,architect
703,detective
1936,blackmail
5301,brother
1405,roman empire
2831,slavery
2620,evidence
207268,neo-noir
131,italy
383,poker
585,casino
13006,torture
690,gorilla
1366,shotgun
11857,mental institution
2430,hiding place
577,black people
2149,drug traffic
3391,drug smuggle
3734,ambition
8015,cop
11734,police corruption
15167,police detective
193305,dishonesty
1196,florida
2284,horseback riding
4604,father-in-law
5569,vomit
2398,narration
167541,buddy comedy
3581,witness
4009,witness protection
11207,u.s. marshal
801,bounty hunter
3136,plantation
12425,racism
33780,dentist
202703,deadly
206687,chases and races
934,judge
11001,religion
1421,birthday
3998,palace
9791,number in title
12617,airplane crash
159753,ensemble cast
170682,lying
612,hotel
4654,undercover agent
572,sex
1499,pastor
2483,nudity
8685,anti-christ
8778,atheist
10093,priest
14765,church
14999,devil
917,journalism
5420,fisherman
6212,smuggling
738,sexuality
974,bank
3923,humor
5636,wall street
14964,drug
11268,psychologist
15009,criminal
33626,millionaire
170383,disfigurement
170652,father figure
2902,space battle
8201,satire
214548,1930s
3905,owl
4411,sexism
6496,basketball
11738,evil corporation
9736,little boy
13194,planet
4862,alien life-form
11107,rescue mission
18525,fbi agent
1009,baby
4676,whale
1010,bar
6220,mafia boss
3338,invention
10183,independent film
5153,son
2356,immigrant
2987,gang war
4931,pig
10726,gang
1524,surfer
5614,idol
11800,mockumentary
1968,prisoners of war
6078,politics
6083,politician
6085,election campaign
444,taxi
995,cinderella
3352,tree
6381,loss of daughter
10714,serial killer
13092,corpse
14576,pedophile
172291,grieving
14785,underwater
3301,suspicion
9812,honor
14707,brutality
9678,mind control
4392,cage
14768,single mother
2139,russia
186450,moscow
3776,officer
3358,haunted house
10112,ouija board
10224,haunting
10637,food
3450,bridge
6255,insanity
1003,photographer
1680,boston
10391,mafia
11199,undercover cop
11578,mobster
162262,movie star
4470,punk
10941,disappearance
12361,hacking
1909,coffin
4812,plan
536,israel
928,hairdresser
549,prostitute
936,loss of mother
1603,extraterrestrial technology
161891,doppelganger
14724,family vacation
3412,star
10706,spirituality
4005,human experimentation
160130,invisible man
407,dictator
15053,united nations
15155,witness to murder
351,poison
339,submarine
1522,repayment
1952,socially deprived family
2783,family's daily life
4487,boxing match
643,horse race
2355,american dream
3525,racehorse
5571,great depression
3875,barn
9276,truck
15160,divorce
1252,suicide attempt
9957,loneliness
9986,crush
12990,singing
1589,sniper
18522,one against many
7188,hostage-taking
3688,strip club
3633,dracula
5891,backpacker
6737,frankenstein
3398,release from prison
5424,women's prison
12547,billionaire
33632,apartment
1655,country house
171366,multiple storylines
1284,identity
10092,mystery
3687,graduation
414,hunter
14751,youth
800,bounty
9732,movie in movie
11931,spoof
160612,self-referential
1156,sister sister relationship
1411,brothel
1926,car journey
3796,auto
314,life and death
699,love at first sight
10855,fate
2148,colombia
157959,surgery
2013,attempted murder
10125,mad scientist
14687,extreme violence
14742,psychic
15108,justice
802,regret
1022,workaholic
1786,heart attack
5404,meteor
9706,anthology
704,adolescence
1452,loss of child
6170,motherly love
918,newspaper
3152,planned murder
4399,victim
725,lovesickness
6157,prayer
3268,secret base
3530,prague
3298,hallucination
5570,christmas tree
1950,vororte
5698,egg
